ID,Title,Release_Year,Genre,Director
1,Inception,2010,Sci-Fi,Christopher Nolan
2,Black Panther,2018,Action,Ryan Coogler
3,Titanic,1997,Romance,James Cameron
4,The Matrix,1999,Sci-Fi,Lana Wachowski
5,Avatar,2009,Adventure,James Cameron
6,The Dark Knight,2008,Action,Christopher Nolan
7,Avengers: Endgame,2019,Action,Anthony Russo
8,The Shawshank Redemption,1994,Drama,Frank Darabont
9,Forrest Gump,1994,Drama,Robert Zemeckis
10,Interstellar,2014,Sci-Fi,Christopher Nolan
11,Joker,2019,Drama,Todd Phillips
12,Parasite,2019,Thriller,Bong Joon Ho
13,Gladiator,2000,Action,Ridley Scott
14,Frozen,2013,Animation,Chris Buck
15,The Lion King,1994,Animation,Roger Allers
16,Doctor Strange,2016,Action,Scott Derrickson
17,The Godfather,1972,Crime,Francis Coppola
18,Spider-Man: No Way Home,2021,Action,Jon Watts
19,Dune,2021,Sci-Fi,Denis Villeneuve
20,Oppenheimer,2023,Biography,Christopher Nolan
21,The Avengers,2012,Action,Joss Whedon
22,Wonder Woman,2017,Action,Patty Jenkins
23,La La Land,2016,Musical,Damien Chazelle
24,Joker: Origins,2020,Thriller,Todd Phillips
25,Toy Story,1995,Animation,John Lasseter
26,Finding Nemo,2003,Animation,Andrew Stanton
27,Mad Max: Fury Road,2015,Action,George Miller
28,The Revenant,2015,Adventure,Alejandro G. Iñárritu
29,Coco,2017,Animation,Lee Unkrich
30,Gravity,2013,Sci-Fi,Alfonso Cuarón
31,Black Swan,2010,Thriller,Darren Aronofsky
32,Spider-Man: Homecoming,2017,Action,Jon Watts
33,The Prestige,2006,Mystery,Christopher Nolan
34,Incredibles 2,2018,Animation,Brad Bird
35,Titanic II,2010,Romance,James Cameron
36,King Kong,2005,Adventure,Peter Jackson
37,Logan,2017,Action,James Mangold
38,Guardians of the Galaxy,2014,Action,James Gunn
39,Moana,2016,Animation,Ron Clements
40,The Irishman,2019,Crime,Martin Scorsese
41,Jurassic World,2015,Adventure,Colin Trevorrow
42,Frozen II,2019,Animation,Chris Buck
43,Batman Begins,2005,Action,Christopher Nolan
44,Spider-Man 2,2004,Action,Sam Raimi
45,Soul,2020,Animation,Pete Docter
46,Memento,2000,Mystery,Christopher Nolan
